"","Industry","Data","Total","0-4","5-9","10-19","20-49","50-99","100-249","250-499","500-999","1000","Year"
"1","Total","No. of Businesses",75144,45441,11798,8146,5886,2167,1269,293,100,44,2001-01-01
"2","Total","No. of Employees",1013928,63624,78376,110290,178339,148040,190299,97214,59586,66834,2001-01-01
"3","Total","Payroll (in thousands)",9235556,557685,598537,856782,1450620,1305238,1790872,948942,680683,832151,2001-01-01
"4","Agriculture","No. of Businesses",936,557,158,103,73,NA,15,3,NA,NA,2001-01-01
"5","Agriculture","No. of Employees",11993,890,1062,1426,2303,NA,2154,1186,NA,NA,2001-01-01
"6","Agriculture","Payroll (in thousands)",63797,4979,5999,6982,13093,NA,10097,6024,NA,NA,2001-01-01
"7","Mining","No. of Businesses",31,25,NA,NA,NA,NA,NA,NA,NA,NA,2001-01-01
"8","Mining","No. of Employees",283,37,NA,NA,NA,NA,NA,NA,NA,NA,2001-01-01
"9","Mining","Payroll (in thousands)",4085,408,NA,NA,NA,NA,NA,NA,NA,NA,2001-01-01
"10","Utilities","No. of Businesses",79,35,NA,NA,NA,NA,NA,NA,NA,NA,2001-01-01
"11","Utilities","No. of Employees",5223,71,NA,NA,NA,NA,NA,NA,NA,NA,2001-01-01
"12","Utilities","Payroll (in thousands)",74029,542,NA,NA,NA,NA,NA,NA,NA,NA,2001-01-01
"13","Construction","No. of Businesses",5982,3428,994,743,485,202,104,21,5,NA,2001-01-01
"14","Construction","No. of Employees",75956,5125,6534,10243,14971,13920,15728,6482,2953,NA,2001-01-01
"15","Construction","Payroll (in thousands)",735776,43499,52165,90094,147348,146708,153258,71964,30740,NA,2001-01-01
"16","Manufacturing","No. of Businesses",3828,1538,678,606,524,244,164,43,22,9,2001-01-01
"17","Manufacturing","No. of Employees",119466,2654,4575,8287,16033,17206,25374,14093,14699,16545,2001-01-01
"18","Manufacturing","Payroll (in thousands)",1409008,34223,37571,72795,155063,193140,278205,140559,220294,277158,2001-01-01
"19","Wholesale Trade","No. of Businesses",3730,2064,723,482,320,90,45,6,NA,NA,2001-01-01
"20","Wholesale Trade","No. of Employees",39060,3338,4836,6508,9729,6067,6610,1972,NA,NA,2001-01-01
"21","Wholesale Trade","Payroll (in thousands)",468971,41248,48800,68132,106159,74889,100656,29087,NA,NA,2001-01-01
"22","Retail Trade","No. of Businesses",8769,3913,2091,1343,829,341,203,44,5,NA,2001-01-01
"23","Retail Trade","No. of Employees",135697,7038,14184,17731,25456,23346,30053,14408,3481,NA,2001-01-01
"24","Retail Trade","Payroll (in thousands)",884780,57059,73322,92358,164566,173899,210033,82385,31158,NA,2001-01-01
